Tissue;Treatment;Na;Mg;P;S;K;Ca;Ti;Mn;Fe;Cu;Zn;Se;Mo
Root;C;1412.947;4476;16970;22948;60475;6668;1.419;242.69;1616.143;25.844;151.35;1.634;1.858
Root;C;1659.461;4799;16023;23239;59347;6923;1.464;226.083;1505.172;23.894;154.399;0.979;1.733
Root;C;1661.434;4774;15578;23420;60656;6386;1.959;175.412;1247.1;24.591;141.081;2.301;2.376
Root;C;1898.367;4469;16245;22551;54692;6588;1.492;243.613;1742.492;27.272;196.074;0;1.822
Shoot;C;331.271;5188;6920;8673;54894;33389;0.689;46.168;161.371;9.474;35.951;0.686;2.474
Shoot;C;286.053;4923;6633;8867;51682;31496;0.647;43.108;157.825;7.591;30.908;0.847;2.224
Shoot;C;288.296;4920;5868;10872;58588;33597;0.521;43.783;180.905;8.059;32.549;0.315;3.542
Shoot;C;293.417;5402;6949;10254;56647;33401;0.545;42.302;147.523;8.477;37.755;0.091;2.287
Shoot;C;389.755;5245;6365;10444;52929;33216;0.456;43.532;165.659;9.028;45.752;1.666;2.406
Root;Fe;12746.666;10711;5578;14173;45829;16201;3.587;286.479;458.197;183.199;1594.102;0;3.596
Root;Fe;6106.146;9339;7327;10469;56025;10477;1.594;236.631;239.696;179.958;1124.558;0.087;2.281
Root;Fe;6472.033;8913;6515;11172;54852;12242;4.47;186.554;443.21;115.339;881.657;1.347;3.218
Root;Fe;7910.203;8980;5436;11832;44497;13842;2.041;170.508;413.951;140.311;1122.414;0;3.84
Shoot;Fe;1046.94;6351;6096;11285;57429;37245;0.748;122.859;56.662;13.008;236.316;1.543;3.486
Shoot;Fe;1233.073;6534;5944;10744;51255;41261;0.665;76.191;217.028;16.877;175.861;1.713;4.462
Shoot;Fe;1208.036;5897;5060;9595;51623;40250;0.951;92.477;77.361;12.711;230.583;0.142;3.85
Shoot;Fe;1193.905;6864;7954;10454;78891;33685;0.655;67.588;70.934;11.347;202.713;0.512;3.432
Shoot;Fe;1150.935;4767;6549;10891;77152;28176;0.879;51.492;80.041;10.633;127.84;0;4.467
Root;P;9860.027;13606;1796;11336;45885;14180;3.334;80.369;4057.171;78.947;922.881;2.316;45.726
Root;P;7057.446;12450;1931;9580;43210;11817;1.958;97.482;3598.252;54.49;654.403;4.101;21.867
Root;P;9672.521;14684;2071;10630;49598;12163;2.732;93.933;4146.322;83.781;900.427;0;30.105
Root;P;13001.65;13796;1987;11851;46332;15321;4.547;123.593;3639.103;69.07;973.371;1.581;28.148
Shoot;P;2685.125;10644;5352;13475;45239;32229;1.017;186.125;615.106;16.066;109.776;0.905;12.6
Shoot;P;4135.46;11295;4783;13400;44498;33422;1.229;203.722;634.161;15.77;131.746;0.807;11.737
Shoot;P;3866.033;12089;5087;14679;45880;35986;0.894;206.05;737.64;17.931;153.353;0.653;12.74
Shoot;P;4809.38;10860;4797;14046;45876;32682;1.096;180.093;606.661;17.394;233.006;1.108;12.21
