Time;Treatment;Species_Tissue;Value
0;C;50然_TR;63.76661972
0;C;50然_TR;34.84621448
0;C;50然_TR;44.28777544
0;C;50然_TR;97.91828096
0;C;50然_TR;77.34857622
0;C;500然_TR;180.5327463
0;C;500然_TR;286.592586
0;C;500然_TR;228.1378547
0;C;500然_TR;230.7553286
0;C;500然_TR;305.9771244
0;P;50然_TR;15.76982976
0;P;50然_TR;52.04745704
0;P;50然_TR;41.31017857
0;P;50然_TR;53.31523066
0;P;50然_TR;47.59504976
0;P;500然_TR;182.1249189
0;P;500然_TR;248.3113539
0;P;500然_TR;67.03021729
0;P;500然_TR;54.87382494
0;P;500然_TR;135.0019628
0;Fe;50然_TR;69.83769085
0;Fe;50然_TR;90.41834834
0;Fe;50然_TR;62.1790936
0;Fe;50然_TR;46.14261068
0;Fe;50然_TR;65.26934175
0;Fe;500然_TR;186.328939
0;Fe;500然_TR;163.8230529
0;Fe;500然_TR;344.6700576
0;Fe;500然_TR;275.8558002
0;Fe;500然_TR;476.5652382
3;C;50然_TR;44.12444145
3;C;50然_TR;79.56048133
3;C;50然_TR;66.00764316
3;C;50然_TR;69.82900056
3;C;50然_TR;71.47718015
3;C;500然_TR;84.65424832
3;C;500然_TR;335.7505343
3;C;500然_TR;238.0290726
3;C;500然_TR;284.3918818
3;C;500然_TR;156.6239336
3;P;50然_TR;27.43510194
3;P;50然_TR;13.76347821
3;P;50然_TR;32.60025974
3;P;50然_TR;73.19937987
3;P;50然_TR;55.1011724
3;P;500然_TR;263.8441812
3;P;500然_TR;152.2414275
3;P;500然_TR;266.8445848
3;P;500然_TR;260.4955325
3;P;500然_TR;245.0744559
3;Fe;50然_TR;134.1833147
3;Fe;50然_TR;38.0406125
3;Fe;50然_TR;163.7005551
3;Fe;50然_TR;80.4638403
3;Fe;50然_TR;159.1805515
3;Fe;500然_TR;661.5970083
3;Fe;500然_TR;295.2095229
3;Fe;500然_TR;561.864568
3;Fe;500然_TR;146.1192314
3;Fe;500然_TR;598.2806693
7;C;50然_TR;41.64212817
7;C;50然_TR;51.39897166
7;C;50然_TR;24.67143971
7;C;50然_TR;20.62483872
7;C;50然_TR;48.27344916
7;C;500然_TR;80.80446293
7;C;500然_TR;223.7682203
7;C;500然_TR;101.067964
7;C;500然_TR;148.4357728
7;C;500然_TR;313.067304
7;P;50然_TR;100.6456404
7;P;50然_TR;57.67539461
7;P;50然_TR;41.13310188
7;P;50然_TR;29.75649202
7;P;500然_TR;174.9835548
7;P;500然_TR;154.4530774
7;P;500然_TR;85.19310792
7;P;500然_TR;131.7168541
7;P;500然_TR;151.3504585
7;Fe;50然_TR;86.48110321
7;Fe;50然_TR;59.60285344
7;Fe;50然_TR;27.84247937
7;Fe;50然_TR;71.80915028
7;Fe;50然_TR;52.02433
7;Fe;500然_TR;305.7341792
7;Fe;500然_TR;398.57299
7;Fe;500然_TR;76.61634817
7;Fe;500然_TR;416.1344766
7;Fe;500然_TR;342.5657055
10;C;50然_TR;18.33306196
10;C;50然_TR;26.3405396
10;C;50然_TR;15.60333336
10;C;50然_TR;27.97492852
10;C;50然_TR;-2.762923871
10;C;500然_TR;70.15930794
10;C;500然_TR;79.07825473
10;C;500然_TR;190.8006011
10;C;500然_TR;66.07326383
10;C;500然_TR;76.55266822
10;P;50然_TR;25.52746798
10;P;50然_TR;36.2995881
10;P;50然_TR;44.18668911
10;P;50然_TR;26.54403016
10;P;50然_TR;26.56319095
10;P;500然_TR;191.9742277
10;P;500然_TR;113.5419722
10;P;500然_TR;140.3297575
10;P;500然_TR;109.3253535
10;P;500然_TR;144.1181336
10;Fe;50然_TR;82.66364731
10;Fe;50然_TR;95.83361375
10;Fe;50然_TR;70.77504213
10;Fe;50然_TR;97.7141708
10;Fe;50然_TR;74.10685222
10;Fe;500然_TR;143.8607823
10;Fe;500然_TR;118.2283956
10;Fe;500然_TR;184.0039072
10;Fe;500然_TR;221.0764345
10;Fe;500然_TR;110.7870191
14;C;50然_TR;39.71370463
14;C;50然_TR;39.26128364
14;C;50然_TR;22.40335324
14;C;50然_TR;34.7814149
14;C;50然_TR;27.07765438
14;C;500然_TR;111.895927
14;C;500然_TR;136.6292707
14;C;500然_TR;124.454475
14;C;500然_TR;98.22532935
14;C;500然_TR;86.15482192
14;P;50然_TR;29.75812043
14;P;50然_TR;47.72569736
14;P;50然_TR;38.1477095
14;P;50然_TR;30.5123125
14;P;50然_TR;24.41606005
14;P;500然_TR;104.6563885
14;P;500然_TR;91.08445333
14;P;500然_TR;69.87316481
14;P;500然_TR;76.82103711
14;P;500然_TR;50.28970433
14;Fe;50然_TR;85.57513725
14;Fe;50然_TR;57.10928619
14;Fe;50然_TR;90.61119683
14;Fe;50然_TR;80.00754582
14;Fe;50然_TR;66.81348806
14;Fe;500然_TR;148.8438314
14;Fe;500然_TR;279.4801564
14;Fe;500然_TR;200.2764754
14;Fe;500然_TR;114.120688
14;Fe;500然_TR;155.3068864
17;C;50然_TR;35.15666087
17;C;50然_TR;24.8754176
17;C;50然_TR;14.7781702
17;C;50然_TR;16.04706862
17;C;50然_TR;13.62144282
17;C;500然_TR;66.58426614
17;C;500然_TR;89.18436595
17;C;500然_TR;92.55490223
17;C;500然_TR;152.1262729
17;C;500然_TR;104.6061715
17;P;50然_TR;14.86787201
17;P;50然_TR;68.86637994
17;P;50然_TR;17.23131204
17;P;50然_TR;23.29422625
17;P;50然_TR;23.45323833
17;P;500然_TR;54.25406115
17;P;500然_TR;27.3478904
17;P;500然_TR;116.4476502
17;P;500然_TR;70.88084268
17;P;500然_TR;90.71208827
17;Fe;50然_TR;72.12314263
17;Fe;50然_TR;22.35691754
17;Fe;50然_TR;7.575881876
17;Fe;50然_TR;44.61526618
17;Fe;500然_TR;92.21776756
17;Fe;500然_TR;258.7045359
17;Fe;500然_TR;167.7357277
17;Fe;500然_TR;151.317365
