Treatment;Tissue;Element;N;mean;sd;se
1;C;Root;Na;4;1658.05225;198.192821476754;99.0964107383772
2;C;Root;Mg;4;4629.5;181.597540365135;90.7987701825673
3;C;Root;P;4;16204;581.112152112941;290.55607605647
4;C;Root;S;4;23039.5;379.291005254101;189.645502627051
5;C;Root;K;4;58792.5;2794.34005327436;1397.17002663718
6;C;Root;Ca;4;6641.25;222.176168839054;111.088084419527
7;C;Root;Ti;4;1.5835;0.252132901462701;0.12606645073135
8;C;Root;Mn;4;221.9495;32.0536025068426;16.0268012534213
9;C;Root;Fe;4;1527.72675;210.714368624725;105.357184312363
10;C;Root;Cu;4;25.40025;1.48593817166126;0.742969085830628
11;C;Root;Zn;4;160.726;24.2442256630316;12.1221128315158
12;C;Root;Se;4;1.2285;0.980841305546757;0.490420652773379
13;C;Root;Mo;4;1.94725;0.29062160392281;0.145310801961405
14;C;Shoot;Na;5;317.7584;44.2489263349971;19.7887214432868
15;C;Shoot;Mg;5;5135.6;210.573740053217;94.1714394070729
16;C;Shoot;P;5;6547;447.854328995489;200.286544730294
17;C;Shoot;S;5;9822;988.462695300131;442.053955982751
18;C;Shoot;K;5;54948;2778.58930034649;1242.62291142567
19;C;Shoot;Ca;5;33019.8;862.444606916873;385.696953578843
20;C;Shoot;Ti;5;0.5716;0.0949989473625892;0.0424848208187348
21;C;Shoot;Mn;5;43.7786;1.44914761152893;0.648078513762029
22;C;Shoot;Fe;5;162.6566;12.2069804128621;5.45912760063364
23;C;Shoot;Cu;5;8.5258;0.749236744961164;0.335068858594767
24;C;Shoot;Zn;5;36.583;5.79487596933705;2.59154731772353
25;C;Shoot;Se;5;0.721;0.606601599074714;0.271280482158227
26;C;Shoot;Mo;5;2.5866;0.542983240993679;0.242829487501003
27;Fe;Root;Na;4;8308.762;3059.35351845201;1529.676759226
28;Fe;Root;Mg;4;9485.75;837.973497989843;418.986748994921
29;Fe;Root;P;4;6214;883.015666150192;441.507833075096
30;Fe;Root;S;4;11911.5;1607.10599111156;803.552995555779
31;Fe;Root;K;4;50300.75;5976.64835700858;2988.32417850429
32;Fe;Root;Ca;4;13190.5;2432.44026990729;1216.22013495365
33;Fe;Root;Ti;4;2.923;1.33893863439168;0.669469317195842
34;Fe;Root;Mn;4;220.043;52.4853414011951;26.2426707005975
35;Fe;Root;Fe;4;388.7635;101.062624144636;50.5313120723181
36;Fe;Root;Cu;4;154.70175;32.6929716949989;16.3464858474995
37;Fe;Root;Zn;4;1180.68275;298.260015323738;149.130007661869
38;Fe;Root;Se;4;0.3585;0.660274942732192;0.330137471366096
39;Fe;Root;Mo;4;3.23375;0.684773624394709;0.342386812197355
40;Fe;Shoot;Na;5;1166.5778;73.2206770844138;32.7452822638621
41;Fe;Shoot;Mg;5;6082.6;814.192421974069;364.117920459842
42;Fe;Shoot;P;5;6320.6;1060.84249537808;474.42318661718
43;Fe;Shoot;S;5;10593.8;633.599005681038;283.354089435815
44;Fe;Shoot;K;5;63270;13700.872964888;6127.21666011575
45;Fe;Shoot;Ca;5;36123.4;5333.58953238811;2385.25375170023
46;Fe;Shoot;Ti;5;0.7796;0.13125852353276;0.0587005962491012
47;Fe;Shoot;Mn;5;82.1214;27.1631184200195;12.147715853608
48;Fe;Shoot;Fe;5;100.4052;65.81913181363;29.4352105910591
49;Fe;Shoot;Cu;5;12.9152;2.41939335371493;1.08198560064356
50;Fe;Shoot;Zn;5;194.6626;44.4658572423832;19.885735894354
51;Fe;Shoot;Se;5;0.782;0.796854127177616;0.356363999304082
52;Fe;Shoot;Mo;5;3.9394;0.505591534739259;0.226107408105086
53;P;Root;Na;4;9897.911;2432.67157982755;1216.33578991377
54;P;Root;Mg;4;13634;918.582966675665;459.291483337833
55;P;Root;P;4;1946.25;115.514429113134;57.7572145565672
56;P;Root;S;4;10849.25;983.106428623066;491.553214311533
57;P;Root;K;4;46256.25;2619.8280318881;1309.91401594405
58;P;Root;Ca;4;13370.25;1666.44919414504;833.224597072522
59;P;Root;Ti;4;3.14275;1.09252654429995;0.546263272149977
60;P;Root;Mn;4;98.84425;18.0721848038175;9.03609240190877
61;P;Root;Fe;4;3860.212;281.758768726015;140.879384363007
62;P;Root;Cu;4;71.572;12.9293597933798;6.46467989668991
63;P;Root;Zn;4;862.7705;142.221388287182;71.1106941435909
64;P;Root;Se;4;1.9995;1.70192214863078;0.850961074315388
65;P;Root;Mo;4;31.4615;10.1382076818341;5.06910384091705
66;P;Shoot;Na;4;3873.9995;886.337842795285;443.168921397643
67;P;Shoot;Mg;4;11222;638.264835315248;319.132417657624
68;P;Shoot;P;4;5004.75;270.604724028733;135.302362014366
69;P;Shoot;S;4;13900;594.076874935671;297.038437467836
70;P;Shoot;K;4;45373.25;656.668041453722;328.334020726861
71;P;Shoot;Ca;4;33579.75;1677.83637958731;838.918189793657
72;P;Shoot;Ti;4;1.059;0.140544180479544;0.0702720902397721
73;P;Shoot;Mn;4;193.9975;12.8470493758943;6.42352468794717
74;P;Shoot;Fe;4;648.392;60.6002228323736;30.3001114161868
75;P;Shoot;Cu;4;16.79025;1.03782990738688;0.518914953693442
76;P;Shoot;Zn;4;156.97025;53.7217516367129;26.8608758183565
77;P;Shoot;Se;4;0.86825;0.19053849129944;0.0952692456497199
78;P;Shoot;Mo;4;12.32175;0.449732049854874;0.224866024927437
